Name,Type,Material
sweater_1move10pant1_x1img001_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img002_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img003_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img004_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img005_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img006_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img007_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img008_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img009_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img010_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img011_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img012_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img013_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img014_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img015_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img016_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img017_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img018_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img019_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img020_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img021_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img022_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img023_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img024_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img025_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img026_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img027_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img028_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img029_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img030_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img031_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img032_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img033_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img034_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img035_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img036_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img037_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img038_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img039_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img040_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img041_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img042_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img043_rgb_output.png,Sweater_One,Sweater
sweater_1move10pant1_x1img044_rgb_output.png,Sweater_One,Sweater
